stamp,x_error_m,y_error_m,z_error_m,yaw_error_rad,position_error_m
1621218775.51741,-3.5953114027366506e-10,-1.5489408325983473e-10,0.000999999770190411,-4.699997142793961e-06,0.0009999997701904877
1621218775.51741,-3.5953114027366506e-10,-1.5489408325983473e-10,0.000999999770190411,-4.699997142793961e-06,0.0009999997701904877
1621218775.586545,-0.010892179126247459,-0.05692207929340075,-0.0172285610722249,-0.0007529228435215908,0.06046144220759084
1621218775.586545,-0.010892179126247459,-0.05692207929340075,-0.0172285610722249,-0.0007529228435215908,0.06046144220759084
1621218775.6520343,-0.013464400396152737,-0.05509403214539231,-0.01875655333612911,-0.0010369010933858342,0.05973651102229268
1621218775.6520343,-0.013464400396152737,-0.05509403214539231,-0.01875655333612911,-0.0010369010933858342,0.05973651102229268
1621218775.718952,-0.01377274699995687,-0.05053890442557195,-0.014225700708410978,-0.0011501293582510605,0.05427927763988022
1621218775.718952,-0.01377274699995687,-0.05053890442557195,-0.014225700708410978,-0.0011501293582510605,0.05427927763988022
1621218775.7864134,-0.00959023939218999,-0.04858506597982802,-0.01586722176271935,-0.0007370396549812749,0.05200240431298412
1621218775.7864134,-0.00959023939218999,-0.04858506597982802,-0.01586722176271935,-0.0007370396549812749,0.05200240431298412
1621218775.8529763,-0.011614183484779286,-0.04706722873978318,-0.016904936240126543,-0.0009357043074314703,0.05134189467232326
1621218775.8529763,-0.011614183484779286,-0.04706722873978318,-0.016904936240126543,-0.0009357043074314703,0.05134189467232326
1621218775.9193761,-0.012545755729159794,-0.05084292810181866,-0.015360725121625647,-0.0008238461022341843,0.05457427233637283
1621218775.9193761,-0.012545755729159794,-0.05084292810181866,-0.015360725121625647,-0.0008238461022341843,0.05457427233637283
1621218775.986127,-0.009691774494714242,-0.05259568997085971,-0.018359622470443402,-0.0006673343678681291,0.056544786086998304
1621218775.986127,-0.009691774494714242,-0.05259568997085971,-0.018359622470443402,-0.0006673343678681291,0.056544786086998304
1621218776.0526867,-0.011110938420203623,-0.050566715588045805,-0.01641721191723142,-0.0007621903615016279,0.054313631116646555
1621218776.0526867,-0.011110938420203623,-0.050566715588045805,-0.01641721191723142,-0.0007621903615016279,0.054313631116646555
1621218776.1191869,-0.012316479043003564,-0.04993672387992741,-0.018584016193384987,-0.0009705210031619045,0.05468763759528157
1621218776.1191869,-0.012316479043003564,-0.04993672387992741,-0.018584016193384987,-0.0009705210031619045,0.05468763759528157
1621218776.186845,-0.011747659855848067,-0.0462755909581951,-0.01517242791026738,-0.0009216297926363634,0.05009631123457248
1621218776.186845,-0.011747659855848067,-0.0462755909581951,-0.01517242791026738,-0.0009216297926363634,0.05009631123457248
1621218776.252284,-0.010153375748790577,-0.047174600083337834,-0.015372085721691216,-0.000690457694105004,0.05064419958449348
1621218776.252284,-0.010153375748790577,-0.047174600083337834,-0.015372085721691216,-0.000690457694105004,0.05064419958449348
1621218776.3192637,-0.011556728682668577,-0.05269008887528136,-0.018076198850570855,-0.0007276631082512555,0.05689070581751682
1621218776.3192637,-0.011556728682668577,-0.05269008887528136,-0.018076198850570855,-0.0007276631082512555,0.05689070581751682
1621218776.386267,-0.012231353496913747,-0.05365919031151854,-0.020494554967552567,-0.0007532808299707035,0.058727689351550885
1621218776.386267,-0.012231353496913747,-0.05365919031151854,-0.020494554967552567,-0.0007532808299707035,0.058727689351550885
1621218776.4548323,-0.009032848009900785,-0.05358658141715299,-0.01724242127725437,-0.00034763834751944204,0.05701241218058967
1621218776.4548323,-0.009032848009900785,-0.05358658141715299,-0.01724242127725437,-0.00034763834751944204,0.05701241218058967
1621218776.5202162,-0.012929343653159777,-0.057259920150173185,-0.03692222393334653,-0.0009758678129770184,0.06934779739176941
1621218776.5202162,-0.012929343653159777,-0.057259920150173185,-0.03692222393334653,-0.0009758678129770184,0.06934779739176941
1621218776.5874228,-0.013947732894871617,-0.054619450144791595,-0.03908057343244918,-0.0009568921288815808,0.06859383942334116
1621218776.5874228,-0.013947732894871617,-0.054619450144791595,-0.03908057343244918,-0.0009568921288815808,0.06859383942334116
1621218776.6542623,-0.012063254872375756,-0.05297296637919564,-0.03544510609519756,-0.0008426931426449305,0.06486919786175178
1621218776.6542623,-0.012063254872375756,-0.05297296637919564,-0.03544510609519756,-0.0008426931426449305,0.06486919786175178
1621218776.7208626,-0.014903237528457671,-0.052134840337449376,-0.03385421894871131,-0.0010591896485399044,0.0639238312874647
1621218776.7208626,-0.014903237528457671,-0.052134840337449376,-0.03385421894871131,-0.0010591896485399044,0.0639238312874647
1621218776.7868543,-0.015283618823401087,-0.04905693189892875,-0.03595735480653982,-0.0013900606764831473,0.06271445556136596
1621218776.7868543,-0.015283618823401087,-0.04905693189892875,-0.03595735480653982,-0.0013900606764831473,0.06271445556136596
1621218776.85321,-0.013472915655072503,-0.049057640655579896,-0.03556171958642983,-0.0011151396045435968,0.06207098728781885
1621218776.85321,-0.013472915655072503,-0.049057640655579896,-0.03556171958642983,-0.0011151396045435968,0.06207098728781885
1621218776.9199858,-0.013686483155586784,-0.044952515135391405,-0.029625183984244394,-0.0008904398521153428,0.05554907707843655
1621218776.9199858,-0.013686483155586784,-0.044952515135391405,-0.029625183984244394,-0.0008904398521153428,0.05554907707843655
1621218776.9868078,-0.013884922043915287,-0.05076988881353446,-0.035128069080320276,-0.0009497082398011507,0.06327996450390921
1621218776.9868078,-0.013884922043915287,-0.05076988881353446,-0.035128069080320276,-0.0009497082398011507,0.06327996450390921
1621218777.0544622,-0.010000051143527247,-0.05137468430673771,-0.03233092590150109,-0.0004982594872385439,0.0615194926843393
1621218777.0544622,-0.010000051143527247,-0.05137468430673771,-0.03233092590150109,-0.0004982594872385439,0.0615194926843393
1621218777.1206253,-0.013593670899191756,-0.049308649080526304,-0.03287622141231138,-0.0010886930254730442,0.06080276882686628
1621218777.1206253,-0.013593670899191756,-0.049308649080526304,-0.03287622141231138,-0.0010886930254730442,0.06080276882686628
1621218777.1886826,-0.015267438292894375,-0.05091821607196041,-0.03518919321274115,-0.0011462279022648155,0.06374981348162372
1621218777.1886826,-0.015267438292894375,-0.05091821607196041,-0.03518919321274115,-0.0011462279022648155,0.06374981348162372
1621218777.254966,-0.014442720068133038,-0.04822663215336716,-0.02968769443592599,-0.0008950558776077239,0.05844449856696138
1621218777.254966,-0.014442720068133038,-0.04822663215336716,-0.02968769443592599,-0.0008950558776077239,0.05844449856696138
1621218777.3224006,-0.013295849096681278,-0.049493278524849374,-0.03247924888091035,-0.000989042219601786,0.06067343595189045
1621218777.3224006,-0.013295849096681278,-0.049493278524849374,-0.03247924888091035,-0.000989042219601786,0.06067343595189045
